"","x"
"1","L"
"2","BRANIG"
"3","ENCCAL"
"4","BROMAD"
"5","FESMYU"
"6","B"
"7","BROHOR"
"8","EROCIC"
"9","D(ENCCAL)"
"10","AVEFAT"
"11","EROMOS"
"12","ANAARV"
"13","ERIFAS"
"14","SONASP"
"15","ARTCAL"
"16","TH"
"17","DPL(ARTCAL)"
"18","FESPER"
"19","HORMUR"
"20","R"
"21","CENMEL"
"22","PICECH"
"23","UNK BABY 1"
"24","UNK HOPPY"
"25","UNK 02 STICKY"
"26","UNK 02"
"27","PHAAGU"
"28","UNK 03"
"29","SALMEL"
"30","DEIFAS"
"31","SOLAM? SPP."
"32","UNK 04"
"33","PHAAQU"
"34","PSESTR"
"35","UNK STICKY 3"
"36","SILGAL"
"37","SALTRA"
"38","CHEMUR"
"39","D(ARTCAL)"
"40","MEDPOL"
"41","STICKY UNK"
"42","UNK PURPLE"
"43","UNK 01"
"44","S"
"45","D(ERIFAS)"
"46","NICGLA"
"47","DAUSPP"
"48","FLUFFY GRASS"
"49","LUPSPP"
"50","SONOLE"
"51","UNK 06"
"52","AMSMEN"
"53","NA"
"54","DPL(ENCCAL)"
"55","PHADIS"
"56","DPL(SALMEL)"
"57","UNK 05"
"58","RICCOM"
"59","D(UNK SPRAWLING BULB)"
"60","PHACELIA SPP"
"61","UNK PURPLE UNDER COTYLEDON"
"62","UNK PURPLE COTYL"
"63","PSECAL"
"64","URTDIO"
"65","ASCLEP SPP"
"66","PHACELIA CILIATA"
"67","UNK SM FUZZ CRUMPLY"
"68","GALAPA"
"69","UNK 01 PURPLE UNDERSIDE"
"70","BROSPC"
"71","STIPUL"
"72","FESMUE"
"73","STEDIE"
"74","V(ARTCAL)"
"75","V(ENCCAL)"
"76","ARTICAL"
"77","PIRECH"
"78","CALCIL"
"79","UNK(FORB)"
"80","DPL(STIPUL)"
"81","EROSPP"
"82","PICCEH"
"83","URTURE"
"84","AVESPP"
"85","EROFAS"
"86","BROSPP"
"87","EROSMOS"
"88","CONBON"
"89","BROHUR"
"90","UNK GRASS"
"91","POLAVI"
"92","PHAMIN"
"93","V(ERIFAS)"
"94","PHACIL"
"95","AVEBAR"
"96","SILMAR"
"97","UNK grass"
"98","D(BRANIG)"
"99",NA
"100","W"
"101","D(EROSPP)"
"102","CENMEN"
"103","D(UNK grass)"
"104","BACPIL"
"105","F"
"106","UNKgrass1"
"107","UNKgrass2"
"108","Unk"
"109","SILENESPP"
"110","EROSB"
"111","T"
